CODE,PARENTCODE,LEAF,LEVELCODE,TYPE,ISOCODE,NAME
A 02.10,A 02.1,0,4,N,it,Silvicoltura ed altre attività forestali
A 02.10.0,A 02.10,0,5,N,it,Silvicoltura e altre attività forestali
A 02.10.00,A 02.10.0,1,6,N,it,Silvicoltura e altre attività forestali
A 02.2,A 02,0,3,N,it,UTILIZZO DI AREE FORESTALI
A 02.20,A 02.2,0,4,N,it,Utilizzo di aree forestali
A 02.20.0,A 02.20,0,5,N,it,Utilizzo di aree forestali
A 02.20.00,A 02.20.0,1,6,N,it,Utilizzo di aree forestali
A 02.3,A 02,0,3,N,it,RACCOLTA DI PRODOTTI SELVATICI NON LEGNOSI
A 02.30,A 02.3,0,4,N,it,Raccolta di prodotti selvatici non legnosi
A 02.30.0,A 02.30,0,5,N,it,Raccolta di prodotti selvatici non legnosi
A 02.30.00,A 02.30.0,1,6,N,it,Raccolta di prodotti selvatici non legnosi
A 02.4,A 02,0,3,N,it,SERVIZI DI SUPPORTO PER LA SILVICOLTURA
A 02.40,A 02.4,0,4,N,it,Servizi di supporto per la silvicoltura
A 02.40.0,A 02.40,0,5,N,it,Servizi di supporto per la silvicoltura
A 02.40.00,A 02.40.0,1,6,N,it,Servizi di supporto per la silvicoltura
A 03,A,0,2,N,it,PESCA E ACQUACOLTURA
A 03.1,A 03,0,3,N,it,PESCA
A 03.11,A 03.1,0,4,N,it,Pesca marina
A 03.11.0,A 03.11,0,5,N,it,Pesca in acque marine e lagunari e servizi connessi
A 03.11.00,A 03.11.0,1,6,N,it,Pesca in acque marine e lagunari e servizi connessi
A 03.12,A 03.1,0,4,N,it,Pesca in acque dolci
A 03.12.0,A 03.12,0,5,N,it,Pesca in acque dolci e servizi connessi
A 03.12.00,A 03.12.0,1,6,N,it,Pesca in acque dolci e servizi connessi
A 03.2,A 03,0,3,N,it,ACQUACOLTURA
A 03.21,A 03.2,0,4,N,it,Acquacoltura marina
A 03.21.0,A 03.21,0,5,N,it,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi"
A 03.21.00,A 03.21.0,1,6,N,it,"Acquacoltura in acqua di mare, salmastra o lagunare e servizi connessi"
A 03.22,A 03.2,0,4,N,it,Acquacoltura in acque dolci
A 03.22.0,A 03.22,0,5,N,it,Acquacoltura in acque dolci e servizi connessi
A 03.22.00,A 03.22.0,1,6,N,it,Acquacoltura in acque dolci e servizi connessi
B,,0,1,N,it,ESTRAZIONE DI MINERALI DA CAVE E MINIERE
B 05,B,0,2,N,it,ESTRAZIONE DI CARBONE (ESCLUSA TORBA)
B 05.1,B 05,0,3,N,it,ESTRAZIONE DI ANTRACITE
B 05.10,B 05.1,0,4,N,it,Estrazione di antracite
B 05.10.0,B 05.10,0,5,N,it,Estrazione di antracite e litantrace
B 05.10.00,B 05.10.0,1,6,N,it,Estrazione di antracite e litantrace
B 05.2,B 05,0,3,N,it,ESTRAZIONE DI LIGNITE
B 05.20,B 05.2,0,4,N,it,Estrazione di lignite
